Id,Prediction
1,0.9088526697440439
2,0.9046615122309045
3,0.8910820893426962
4,0.8872904937482082
5,0.9084106865439896
6,0.9058967159631363
7,0.9044402727044621
8,0.8890363821071894
9,0.9071779445109179
10,0.9073409563811141
11,0.899607806529465
12,0.899694666791473
13,0.8932062256860085
14,0.9059621183727029
15,0.9087190667037864
16,0.8902557792373808
17,0.8943985127936918
18,0.9043200360273478
19,0.9041607868150422
20,0.8942200869392198
21,0.9060728986344772
22,0.9072702247254553
23,0.9058765806390058
24,0.9070311670179394
25,0.9072310277371829
26,0.9043563729926017
27,0.8995637134823946
28,0.8823479655712704
29,0.8823479655712704
30,0.9016399646622762
31,0.9084806032200327
32,0.9075986391508875
33,0.9088654353092074
34,0.9050861640224878
35,0.8983630111242213
36,0.8959299068775177
37,0.9080796095130516
38,0.8988465593141731
39,0.9055975150970382
40,0.898185818847184
41,0.9096123467310305
42,0.9095066067067011
43,0.9022187550657478
44,0.8919226530328589
45,0.9090854285966599
46,0.9081364001788992
47,0.8823479655712704
48,0.9006932487012593
49,0.9078395288336626
50,0.8902351202542832
51,0.9022583670081405
52,0.8982685604742435
53,0.8965704867572196
54,0.9072799163209695
55,0.9053449164551325
56,0.9056384837709822
57,0.905699490942821
58,0.9072799163209695
59,0.8938427625128755
60,0.9067908134560038
61,0.8962474339095735
62,0.8879312491138984
63,0.8823479655712704
64,0.9078805533260748
65,0.9062320957356933
66,0.9043511718112419
67,0.9079770126810798
68,0.8977265203202028
69,0.8978445171534862
70,0.8994313702064842
71,0.8928371190669123
72,0.893616138680068
73,0.9079963067529572
74,0.9061024213347685
75,0.9040309566434619
76,0.9054052711991322
77,0.8965894819554325
78,0.9067190451612025
79,0.9069782780906248
80,0.901887672305509
81,0.9011884455425345
82,0.9007998074628087
83,0.9082781858953667
84,0.9007714981611038
85,0.9061972295657702
86,0.9070676620413131
87,0.8823479655712704
88,0.9053969469046117
89,0.9076282525777714
90,0.9076282525777714
91,0.9064139027748613
92,0.8823479655712704
